"easting" "northing" "band1" "band2" "band3" "band4" "band5" "band6" "band7"
23 17 77 34 34 80 96 129 38
23 18 76 32 32 72 87 128 36
23 19 75 32 30 75 89 128 36
23 20 77 34 34 78 92 129 38
23 21 76 34 33 87 95 129 37
23 22 78 35 34 94 101 129 38
23 23 80 35 35 93 104 129 40
23 24 78 36 37 93 104 134 39
23 25 79 35 35 94 103 134 39
23 26 76 35 35 93 103 134 38
23 27 79 36 34 90 96 132 39
23 28 75 34 33 77 69 125 28
23 29 68 28 27 50 52 126 22
23 30 68 26 26 46 58 127 26
24 1 80 39 42 80 108 128 47
24 2 87 41 46 81 108 128 47
24 3 87 41 43 84 108 128 45
24 4 82 39 42 89 109 128 45
24 5 83 40 44 87 110 130 48
24 6 85 42 45 85 114 130 48
24 7 85 41 44 86 112 130 47
24 8 83 39 42 85 108 130 44
24 9 80 35 36 80 101 131 40
24 10 77 34 34 85 100 131 39
24 11 78 33 34 83 100 131 39
24 12 79 34 34 81 103 131 41
24 13 79 36 35 84 103 129 43
24 14 78 35 35 85 102 129 41
24 15 77 35 35 82 104 129 41
24 16 78 34 34 86 102 129 41
24 17 77 33 34 77 93 128 39
24 18 75 32 31 70 85 128 35
24 19 74 32 30 79 91 128 35
24 20 75 32 30 88 93 128 35
24 21 76 35 32 91 97 129 36
24 22 77 35 34 94 102 129 37
24 23 80 35 34 93 104 129 39
24 24 79 36 37 93 103 132 40
24 25 80 36 36 92 103 133 40
24 26 78 34 36 91 103 133 38
24 27 80 35 35 89 103 133 40
24 28 77 35 35 86 84 128 35
24 29 70 31 30 61 52 128 21
24 30 67 27 27 47 53 128 21
25 1 82 37 39 83 106 127 46
25 2 85 40 43 83 108 128 45
25 3 84 39 41 89 110 128 44
25 4 83 39 41 91 113 128 46
25 5 84 41 44 87 110 130 47
25 6 86 41 44 87 112 130 49
25 7 86 41 44 87 111 130 48
25 8 85 39 42 83 105 130 44
25 9 82 35 37 78 99 131 39
25 10 76 33 33 89 98 130 38
25 11 75 33 31 92 97 130 37
25 12 76 32 31 89 97 130 38
25 13 76 34 32 87 98 129 39
25 14 77 35 33 86 100 129 40
25 15 77 36 35 83 106 129 42
25 16 77 35 35 82 99 129 39
25 17 75 33 34 72 91 128 37
25 18 74 31 29 68 83 128 35
25 19 75 33 29 84 92 128 34
25 20 75 31 30 83 93 128 36
25 21 74 34 31 92 96 129 37
25 22 77 36 34 92 102 129 40
25 23 79 36 36 93 103 129 40
25 24 80 35 36 92 104 131 39
25 25 79 36 36 90 103 133 40
25 26 80 35 36 89 101 133 38
25 27 79 34 34 87 98 133 37
25 28 77 35 33 86 91 129 37
25 29 76 34 35 76 77 128 35
25 30 74 31 35 59 53 128 19
26 1 79 36 37 88 104 126 42
26 2 82 38 40 87 106 128 43
26 3 82 38 40 90 106 128 41
26 4 81 38 40 94 110 128 44
26 5 84 39 43 90 111 130 47
26 6 86 40 44 88 112 131 46
26 7 86 40 44 88 113 132 45
26 8 83 39 43 87 105 132 44
26 9 81 35 37 75 97 132 38
26 10 76 34 35 87 99 130 38
26 11 75 34 32 92 96 130 35
26 12 73 32 29 93 93 130 34
26 13 74 33 29 92 93 130 36
26 14 75 34 30 92 94 129 37
26 15 77 34 34 87 97 129 40
